Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Flow Bytes/s,Flow IAT Mean
57158,443,6,229,1,1,0,0,0.0,229.0
57159,443,6,407,1,1,0,0,0.0,407.0
57160,443,6,431,1,1,0,0,0.0,431.0
49134,443,6,359,1,1,0,0,0.0,359.0
34697,19305,6,10778451,591,400,64530,6659,6604.75239,10887.32424
54570,443,6,421362,5,3,72,79,358.3616937,60194.57143
443,56254,6,119682119,488,487,89259,314105,3370.294605,122876.9189
57361,443,6,116996934,369,378,208796,34340,2078.139928,156832.3512
443,44097,6,100279453,61,60,14526,17870,323.0572069,835662.1083
34702,19305,6,119962833,3638,3157,254101,488658,6191.576019,17657.17295
